clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
osm-605362776,Stag Dfw Airport International Bldg.,commercial_solar,Grapevine,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-642038328,Stag Garland,commercial_solar,Garland,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521882,Stage 10,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521889,Stage 11,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234711,Stage 11,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-422371078,Stage 11,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234730,Stage 12,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-221159586,Stage 14,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521886,Stage 14,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234742,Stage 14,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521884,Stage 15,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234715,Stage 15,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521881,Stage 16,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-422371087,Stage 16,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234719,Stage 22,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234739,Stage 24,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234726,Stage 27,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234728,Stage 30,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521885,Stage 5,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521887,Stage 6,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234712,Stage 7,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521888,Stage 8,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-422371083,Stage 8,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-226521880,Stage 9,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-422371084,Stage 9,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-83420946,Stage Complex 9 & 11,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-671091338,Stainless Automation,commercial_solar,Cleveland,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-465310191,"Stamco Industries, Inc.",commercial_solar,Cleveland,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-387912050,Stamping,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1481209687,Standalone Transport,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-412545930,Standard Iron & Metals,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-667479327,Standard Restaurant Supply,commercial_solar,Mesa,AZ,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1173515352,Standart Concrete Products,commercial_solar,Tampa,FL,Director of Facilities,,Concrete_processing building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-725522468,Standby Screw Machine Products,commercial_solar,Berea,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-256502257,Stanley Black & Decker Distribution,commercial_solar,Fort Mill,SC,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-753434945,"Stanley Black & Decker, Kannapolis Dc",commercial_solar,Kannapolis,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-241825335,Stanley Lewis Plumbers,commercial_solar,Brooklyn,NY,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-152597562,Stanley Patterson Hall,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-523533407,Stanley Steemer Distribution Center,commercial_solar,Dublin,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-31587261,Stanwell Industrial Park,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1161462332,Staples Distribution Center,commercial_solar,Charlotte,NC,Director of Facilities,,Distributor building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-245558873,Staples Warehouse,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-972517538,Star Importers,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-201438135,Star Mart,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-250224015,"Star Poly Bag, Inc.",commercial_solar,Brooklyn,NY,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-604089034,Star Solar Llc,commercial_solar,Durham,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1212565901,Star Transportation,commercial_solar,Nashville,TN,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-228131331,Stara Technologies Corp,commercial_solar,Gilbert,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-283680042,"State Of Oregon Highway Division, District 2-B",commercial_solar,Clackamas,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1382205722,Statewide Express Inc,commercial_solar,Cleveland,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1512248095,Status Granite,commercial_solar,Saint Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-144636088,Steam Plant Auxiliary Building,commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1123667865,Steel Alloys & Services Headquarters,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-930328358,Steel Summit,commercial_solar,Nashville,TN,Director of Facilities,,Metal_processing building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-284126786,Steelcase,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-603917954,Steele Creek,commercial_solar,Charlotte,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-203884076,Steinway & Sons,commercial_solar,Ny-Nj Port,NY,Director of Facilities,,Factory building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1423153288,Stellalink Ls Fn575,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-39435476,Stericycle,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-543335943,Sterling Institutional Food,commercial_solar,Phoenix,AZ,Director of Facilities,,Slaughterhouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1489142713,Stevens Aerospace & Defense,commercial_solar,Nashville,TN,Director of Facilities,,Aircraft_part_manufacturing building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
